ra,dec
2.410732857983955171e+02,9.385197457791223385e+00
2.416177072383685811e+02,6.862646301653073877e+00
2.414879859302735383e+02,6.887367389742785839e+00
2.413072600021271796e+02,7.197925900749828187e+00
2.410528705211453939e+02,7.182021444487837414e+00
2.410678850839101415e+02,7.453631441476908925e+00
2.412501471730795970e+02,8.073480293705840083e+00
2.412814486774043701e+02,7.822373367102528618e+00
2.413332987246923267e+02,7.454590703592167245e+00
2.413656043839047527e+02,7.618958159179610945e+00
2.414775483378097931e+02,7.552308988899294917e+00
2.412365058474233592e+02,6.881926524792706168e+00
2.413612850415142361e+02,6.854196070092288373e+00
2.413428711685756980e+02,6.755353548161906474e+00
2.412806376537314748e+02,6.723867756240161420e+00
2.414964391456669546e+02,7.072437155447975243e+00
2.414334069566829157e+02,7.015228392424708304e+00
2.416214611749851144e+02,6.737036993760940007e+00
2.417448041034137702e+02,7.423839554354145776e+00
2.417293507703794546e+02,7.212603909056046980e+00
2.418121200248031926e+02,7.140127536782504336e+00
2.418307855269077891e+02,6.619508493963262907e+00
2.418329994741776545e+02,7.006789601281948165e+00
2.417762161111785986e+02,6.981751074894090969e+00
2.417283743024779596e+02,6.805570368798859349e+00
2.417508492987638817e+02,6.890746166724872168e+00
2.418502882423033498e+02,6.775594237906272355e+00
2.418391806412624021e+02,6.592592593139332102e+00
2.420004403178966470e+02,6.605707918902781195e+00
2.420275140560168552e+02,6.763585158307656720e+00
2.418882364836812542e+02,6.705251969787117794e+00
2.419993653841595744e+02,6.687819940523821671e+00
2.420363676828156940e+02,6.983653631111009119e+00
2.421365751138727944e+02,6.896799028307033730e+00
2.421654063136809043e+02,6.722755681722053289e+00
2.420628165844137243e+02,6.599595584830133532e+00
2.421584402905378681e+02,7.616835131117127844e+00
2.421754989046657727e+02,7.541037242985555444e+00
2.421930087480347140e+02,7.384456876207499576e+00
2.421657631395326007e+02,7.098493016500941444e+00
2.422588784480415143e+02,6.966382166800769937e+00
2.422616124769972714e+02,6.761317525321452138e+00
2.422136023937738969e+02,6.720543611155724406e+00
2.424607788752394697e+02,7.635471792034371319e+00
2.424424733552806117e+02,7.609099441742817937e+00
2.423547833085168008e+02,7.324440898792070165e+00
2.424491233334153719e+02,7.107367241758360876e+00
2.425477727087995561e+02,6.520038492725751311e+00
2.424626306033828484e+02,7.668900706690988223e+00
2.424706991459471226e+02,7.114209881000316926e+00
2.426287085482005921e+02,7.040583011514113920e+00
2.425762026162149425e+02,6.555941811673734243e+00
