gflux,rflux
0.8124912,1.60098
0.255966,-0.2376504
1.174346,2.191823
0.003054089,2.277999
0.4655997,1.059388
0.5272292,0.5419781
0.5227659,1.534226
0.3582486,1.36251
0.8406585,0.6245282
0.1756474,1.916153
1.351929,3.014807
0.6934663,1.78148
6.827748,15.35979
1.767178,1.011075
1.347674,2.220809
1.215193,2.857434
18.60559,40.1283
15.18758,45.01038
1.550387,4.455845
0.7187013,2.672923
1.474646,2.147169
-0.566404,-0.2512041
4.033265,5.184395
0.8275695,1.423979
0.4023942,-0.1305473
4.170246,7.059037
1.20837,1.832162
1.296098,3.170727
1.288903,2.847441
1.50448,3.289718
1.349594,3.788254
0.07968283,0.3917201
0.3530152,1.407088
-0.02003688,0.4579986
0.3322098,2.15261
0.0481576,1.619701
0.801001,0.8476855
1.069571,9.759694
4.017852,9.627752
2.129328,12.39386
1.3486,3.917283
5.360049,21.29868
5.544227,17.14973
1.986626,3.430217
4.483055,8.11866
-0.1390585,1.726546
1.076267,1.237928
2.195835,5.535796
1.291466,1.072762
1.932006,6.83341
2.256368,3.16631
0.4860472,5.860101
0.1715749,1.340448
11.99745,33.53955
3.008583,6.65112
0.04514067,0.819539
0.06664055,0.5770118
0.6865515,1.650261
-0.001682731,0.5499596
-0.03600077,0.8888855
0.5498508,0.9308527
1.442725,8.637171
0.8170857,0.9487286
1.205884,1.36286
0.4178309,0.4378963
0.2193917,1.408048
0.1621173,0.6312783
2.582637,6.828846
5.009574,18.27048
12.01158,37.58854
0.0003109635,0.1783443
0.214618,0.2336291
3.646245,6.048632
-5.112864,-0.6436177
0.003693804,-0.4312596
1.726203,1.57877
0.5293561,0.1873603
0.3005859,2.797662
0.6481076,1.358812
1.874491,4.750918
0.6905043,3.48016
0.1513235,2.178191
0.1064899,0.7287719
0.01032096,1.443407
1.004769,3.046553
0.2013786,1.983091
0.3893885,0.9701379
0.5953847,1.553422
0.1243359,0.01672935
1.362344,1.893481
13.95973,32.49077
-0.08657528,0.706226
0.8611832,3.680593
1.666951,2.891845
5.00347,11.85526
0.6048888,-0.2258297
0.4067946,-0.2352992
2.905142,3.263381
-1.425337,4.041615
0.6532519,1.808882
1.731779,4.148969
-0.6013554,2.433506
1.969514,0.9182422
0.9712527,1.131974
0.7041767,2.140613
1.140838,-0.3906125
1.57936,1.990998
0.4397013,1.0945
5.497949,11.86735
1.001655,1.87426
2.602251,4.607131
1.525427,2.873447
